step,reward,loss,epsilon,hit
0,-0.07500000000000001,,1.0,False
1,-0.07500000000000001,,0.9999683333333333,False
2,-0.07500000000000001,,0.9999366666666667,False
3,-0.07500000000000001,,0.999905,False
4,-0.07500000000000001,,0.9998733333333333,False
5,-0.07500000000000001,,0.9998416666666666,False
6,-0.07500000000000001,,0.99981,False
7,0.6799999999999999,,0.9997783333333333,True
8,1.29,,0.9997466666666667,True
9,-0.07500000000000001,,0.999715,False
10,-0.07500000000000001,,0.9996833333333334,False
11,1.525,,0.9996516666666667,True
12,-0.07500000000000001,,0.99962,False
13,1.55,,0.9995883333333333,True
14,1.35,,0.9995566666666666,True
15,1.2599999999999998,,0.999525,True
16,-0.07500000000000001,,0.9994933333333333,False
17,-0.07500000000000001,,0.9994616666666667,False
18,0.6003886348791639,,0.99943,True
19,0.57,,0.9993983333333334,True
20,1.525,,0.9993666666666666,True
21,-0.07500000000000001,,0.999335,False
22,-0.07500000000000001,,0.9993033333333333,False
23,-0.07500000000000001,,0.9992716666666667,False
24,-0.07500000000000001,,0.99924,False
25,1.115,,0.9992083333333334,True
26,1.49,,0.9991766666666667,True
27,0.8799999999999999,,0.999145,True
28,1.51,,0.9991133333333333,True
29,-0.07500000000000001,,0.9990816666666666,False
30,-0.07500000000000001,,0.99905,False
31,-0.07500000000000001,,0.9990183333333333,False
32,0.43,,0.9989866666666667,True
33,-0.07500000000000001,,0.998955,False
34,-0.07500000000000001,,0.9989233333333334,False
35,-0.07500000000000001,,0.9988916666666666,False
36,0.42,,0.99886,True
37,-0.07500000000000001,,0.9988283333333333,False
38,1.325,,0.9987966666666667,True
39,0.8003886348791639,,0.998765,True
40,0.8003886348791639,,0.9987333333333334,True
41,-0.07500000000000001,,0.9987016666666667,False
42,0.8003886348791639,,0.99867,True
43,1.08,,0.9986383333333333,True
44,1.000388634879164,,0.9986066666666666,True
45,-0.07500000000000001,,0.998575,False
46,-0.07500000000000001,,0.9985433333333333,False
47,-0.07500000000000001,,0.9985116666666667,False
48,-0.07500000000000001,,0.99848,False
49,1.0899999999999999,,0.9984483333333334,True
50,1.525,,0.9984166666666666,True
51,1.0899999999999999,,0.998385,True
52,-0.07500000000000001,,0.9983533333333333,False
53,-0.07500000000000001,,0.9983216666666667,False
54,1.125,,0.99829,True
55,1.1400000000000001,,0.9982583333333334,True
56,1.1400000000000001,,0.9982266666666667,True
57,-0.07500000000000001,,0.998195,False
58,0.42,,0.9981633333333333,True
59,-0.07500000000000001,,0.9981316666666666,False
60,-0.07500000000000001,,0.9981,False
61,1.125,,0.9980683333333333,True
62,-0.07500000000000001,,0.9980366666666667,False
63,-0.07500000000000001,,0.998005,False
64,-0.07500000000000001,,0.9979733333333334,False
65,1.095,,0.9979416666666666,True
66,1.0150000000000001,,0.99791,True
67,1.0899999999999999,,0.9978783333333333,True
68,-0.07500000000000001,,0.9978466666666667,False
69,-0.07500000000000001,,0.997815,False
70,-0.07500000000000001,,0.9977833333333334,False
71,1.105,,0.9977516666666667,True
72,-0.07500000000000001,,0.99772,False
73,0.37,,0.9976883333333333,True
74,1.62,,0.9976566666666666,True
75,-0.07500000000000001,,0.997625,False
